008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P1bPPR1/r6r/3R2K1 b - - 1 29,d3e2 d1d8,600,91,83,204,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HNU4zavC/black#58
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,600,88,63,175,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/AjVJZKD1#41
00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,600,86,100,589,backRankMate endgame mate mateIn2 short,https://lichess.org/jB9KjawU/black#42
00ohT,6rk/3R3p/4P2r/1p3p2/p7/P1P5/1P3RpK/4Q3 w - - 1 42,h2g1 h6h1,600,84,70,89,endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/oJJZtqYa#83
01337,1k1r4/ppp3r1/8/P1b5/4R3/7P/1PP5/R6K b - - 0 25,d8d2 e4e8 d2d8 e8d8,600,90,100,66,backRankMate endgame mate mateIn2 short,https://lichess.org/rf2MrMXn/black#50
01GC2,3b4/pp2kprp/8/1Bp5/4R3/1P6/P4PPP/1K6 b - - 0 22,e7f8 e4e8,600,85,100,121,endgame mate mateIn1 oneMove,https://lichess.org/6c75Zk3T/black#44
01qIp,5rk1/p5pp/2ppp3/4p2R/4N1q1/5Q2/PPP3P1/1K6 w - - 3 22,f3g4 f8f1 g4d1 f1d1,600,90,100,578,backRankMate endgame mate mateIn2 short,https://lichess.org/RquBZOf4#43
01ryh,8/5p2/4n2p/6k1/R4pP1/5P2/4K3/8 w - - 19 66,e2d3 e6c5 d3c3 c5a4,600,82,100,116,crushing endgame fork master short,https://lichess.org/vqxVCamE#131
00dpQ,6k1/5ppp/8/4rP2/1r4P1/2RK3P/8/7B b - - 0 47,b4b5 c3c8 e5e8 c8e8,605,85,83,109,backRankMate endgame mate mateIn2 short,https://lichess.org/8DGDxXX7/black#94
00JS1,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/1R4PP/6K1 w - - 0 24,b2d2 c8c1 d2d1 c1d1,605,94,87,503,endgame mate mateIn2 short,https://lichess.org/ROJJOhHY#47
00o7c,2r3k1/p4ppp/1pb1pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 b - - 0 24,c6b7 c4c8 b7c8 c1c8 f6d8 c8d8,609,99,93,231,backRankMate endgame long mate mateIn3,https://lichess.org/3D9Cq2HT/black#48
00Xiu,8/pp3Q1p/1n2B1pk/8/6Pq/7P/PPP2P2/2K5 w - - 10 31,f2f4 h4e1,610,84,79,120,endgame mate mateIn1 oneMove,https://lichess.org/cVckB6RZ#61
01Wni,2rn2k1/p2bRppp/8/3B2N1/8/8/P4PPP/R1r3K1 w - - 0 24,a1c1 c8c1 e7e1 c1e1,619,93,83,153,backRankMate mate mateIn2 middlegame short,https://lichess.org/X6p6G1Hi#47
